Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-05-30,The Girl from Plainville,2022,https://boxd.it/2SPRRL,3,,"She selfishly rather than getting him the help he needed and risk losing her boyfriend, pushed him to suicide so that she knew she would stay being the most important person in his life.",,2022-05-29
2022-06-09,Moonlight,2016,https://boxd.it/2UB4Fh,4.5,,"Took me a while to realize that the movie poster is comprised of three separate individuals..

Third act ""Black"" Chiron's acting went to CRAZY new levels when he picked up that phone call from Kevin",,2022-06-08
2022-06-09,The Assistant,2019,https://boxd.it/2UFdrL,3,,"1 hour and 21 minutes of watching menial office tasks and 2 hot red heads walk through the building within a day and for some reason, I wasn't bored.

""You must be smart, 3.8 GPA.."" seconds later ""I have a queue list of 400 ivy leagues with 4.0 GPAs for YOUR position.""

I did not expect the manipulation to be so subtle",,2022-06-08
2022-06-19,Good Mourning,2022,https://boxd.it/2Wn11t,2,,"Skete Davidson blew this bad script out of the water with his throw-away role as a Valet, Dove Cameron looks so pretty in a bunny onesie, I refuse to believe MGK is the most normal person in this movie.. but I certainly believe MGK thinks he, himself, is normal",,2022-06-18
2022-06-24,It Happened One Night,1934,https://boxd.it/2XorDz,5,,I TEARED UP! BEST BOOMER MOVIE EVER!,"clark gable, Claudette Colbert, Frank Capra",2022-06-23
2022-06-28,The Handmaiden,2016,https://boxd.it/2YfB7f,3.5,Yes,A movie where an erotic book club with no sex is more heinous and evil than a brothel,"hotdog3, hlaoudi",2022-06-28
2022-06-30,Memento,2000,https://boxd.it/2YAXad,4,,"If this movie was a flower, it would be a forget-me-not!

I don’t really have anything to say other than that I knew it was going to be good, it was good, and everybody has already said every original thing the movie had to offer.",christopher nolan,2022-06-29
2022-06-30,Sing,2016,https://boxd.it/2YC0Np,2,,"Miss Piggy needs to get rid of that deadbeat husband of hers! (Interesting how all the individual subplot villains in this movie are male 😒) she might as well have been a single mom of 25 piglets in this movie because he was just so EMBARRASSINGLY useless. 

If I had the privilege of being in SING! Then I would serenade Miss Porcupine with Boyfriend by Dove Cameron and the gorilla with Dear Future Husband by Megan Trainor

I think this would have been much better if it was entirely a musical because the script outside of the songs felt like… throughout the whole movie, I just wanted them to shut up and SING!",,2022-06-30
2022-07-01,Lady Bird,2017,https://boxd.it/2YGtfz,5,Yes,"Me 26 minutes in: 🥱

Me 27 minutes in with the sewing machine and thanksgiving dress: 🥺

Me when the counselor said 
<blockquote>“Don't you think maybe they are the same thing? Love and attention?” </blockquote>and then CUT TO them in the thrift store trying out dresses AGAIN: 😭😭😭

It’s clear to tell which parts of the movie Lady Bird is dressing herself, but then there are those clearer moments of when Lady Bird is getting her dresses picked by her mom.. which is when I SOB! Her dad was right in them both having <b>strong</b> personalities that they don’t know how to handle each other.

Her mom demonstrating her love through her craft and care towards dresses that Lady Bird would wear in big events in her life like her first away- thanksgiving and prom is such a beautiful way of  demonstrating their mother-daughter relationship.

I felt like I was fighting for my life from the airport scene and onward. 

Rewatch hit different, this movie went from a 3/5 to a 5/5",greta gerwig,2022-06-30
2022-07-02,Requiem for a Dream,2000,https://boxd.it/2YTkMF,1.5,,"An hour in and I realized that I didn't know a single personality of anyone in this movie.. life and moments passed by these characters rather than them making any decisions in their life. How to make a movie with 0 empathy 101. 

My favourite line was when the man called a signature a 'John Hancock'","jared leto, miramark",2022-07-01
2022-07-03,Tully,2018,https://boxd.it/2Z5an5,3,,The baby’s name is MIA aka M.I.A,miramark,2022-07-02
2022-07-05,Pride & Prejudice,2005,https://boxd.it/2ZvU25,4.5,,"The sum was greater than the whole of its parts… SLOW and the most convoluted, distracted love story ever but then it got sweet at the end 

The modern tale of Pride and Prejudice (and Pride and Prejudice and Zombies) is if your man is with you in the club, he better not only be buying your drink but buying a round for your besties as well 🥂

“Mrs. Darcy” is the blueprint to Call me by your name","hlaoudi, hotdog3",2022-07-04
2022-07-06,A Raisin in the Sun,1961,https://boxd.it/2ZHjZj,4,Yes,"3 tragically grief-stricken women all from one man.. ONE MAN!!!!👨 

<blockquote><b>Beneatha</b>: Love him? There is nothing left to love. <b>Mama</b>: There is always something left to love. And if you ain't learned that, you ain't learned nothing. </blockquote><blockquote><b>Lena: </b>How we gets to the place where we scared to talk softness to eachother?</blockquote>Probably my two favorite movie quotes ever are from this play.

Beneatha is actually my favorite character of all cinema/theatre/film",danny glover,2022-07-05
2022-07-12,Turning Red,2022,https://boxd.it/30QZzT,3.5,,"<blockquote>Felt like we could have expanded more on the generational abuse of this entire matriarchy, subtract the scenes with Tyler and I would have enjoyed a lot more</blockquote>","theotj, miramark",2022-07-11
2022-07-13,Loving Vincent,2017,https://boxd.it/30Zrm5,4,,"If all filmmakers were to put the same care and affection in each frame-by-frame like the 125 painters of Loving Vincent, we would have a lot more beautiful movies.

**Is a way to buy frames of this movie?**",,2022-07-12
2022-07-13,Hot Girls Wanted,2015,https://boxd.it/314LnR,4,,"This 2.9 letterboxd average rating makes no sense except for the fact that people are mad this is an anti-porn porn documentary

I think i now understand the gravity of needing to know what porn sadists and murderers watch",,2022-07-12
